Name,Limit Type,Date,HourEnding,Original,Replaced Value
VALEXP,RT Limit,2023-04-29,3,-4889.266667,116.0
VALEXP,RT Limit,2023-05-01,10,-27909.094727,132.55416200000002
VALEXP,RT Limit,2023-05-01,11,-47937.894531,132.55416200000002
VALEXP,RT Limit,2023-05-01,12,-27909.094727,132.55416200000002
VALEXP,RT Limit,2023-05-01,13,-7880.294923,132.55416200000002
VALEXP,RT Limit,2023-05-01,14,-43932.13457,132.55416200000002
VALEXP,RT Limit,2023-05-01,15,-47937.894531,132.55416200000002
VALEXP,RT Limit,2023-05-01,16,-47937.894531,132.55416200000002
VALEXP,RT Limit,2023-05-01,17,-47937.894531,132.55416200000002
VALEXP,RT Limit,2023-05-01,18,-11894.875716,132.55416200000002
VALEXP,RT Limit,2023-05-01,19,-31186.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,20,-6150.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,21,-6150.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,22,-37445.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,23,-24927.25,132.55416200000002
VALEXP,RT Limit,2023-05-01,24,-37445.25,132.55416200000002
VALEXP,RT Limit,2023-05-02,1,-37445.25,132.55416200000002
VALEXP,RT Limit,2023-05-02,2,-28056.75,132.55416200000002
VALEXP,RT Limit,2023-05-02,3,-9279.75,132.55416200000002
VALEXP,RT Limit,2023-05-02,4,-3020.75,132.55416200000002
VALEXP,RT Limit,2023-05-02,6,-31186.25,108.75
VALEXP,RT Limit,2023-05-02,7,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,8,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,9,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,10,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,11,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,12,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,13,-34315.75,108.75
VALEXP,RT Limit,2023-05-02,14,-18667.645833,108.75
VALEXP,RT Limit,2023-05-02,16,-31186.25,108.75
VALEXP,RT Limit,2023-05-02,17,-37445.25,108.75
VALEXP,RT Limit,2023-05-02,18,-15538.75,108.75
VALEXP,RT Limit,2023-05-02,20,-15538.75,102.818182
VALEXP,RT Limit,2023-05-02,21,-37445.25,102.818182
VALEXP,RT Limit,2023-05-02,22,-37445.25,102.818182
VALEXP,RT Limit,2023-05-02,23,-37445.25,102.818182
VALEXP,RT Limit,2023-05-02,24,-37445.25,102.818182
VALEXP,RT Limit,2023-05-03,1,-28056.75,102.818182
VALEXP,RT Limit,2023-05-03,3,-37445.25,108.75
VALEXP,RT Limit,2023-05-03,4,-37445.25,108.75
VALEXP,RT Limit,2023-05-03,5,-37445.25,108.75
VALEXP,RT Limit,2023-05-03,7,-34315.75,108.75
VALEXP,RT Limit,2023-05-03,8,-37445.25,108.75
VALEXP,RT Limit,2023-05-03,9,-37445.25,108.75
VALEXP,RT Limit,2023-05-03,10,-37445.25,108.75
VALEXP,RT Limit,2023-05-03,11,-24926.34375,108.75
VALEXP,RT Limit,2023-05-03,12,-21791.164584,108.75
VALEXP,RT Limit,2023-05-03,13,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,14,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,15,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,16,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,17,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,18,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,19,-18661.0,108.75
VALEXP,RT Limit,2023-05-03,20,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,21,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,22,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,23,-37438.0,108.75
VALEXP,RT Limit,2023-05-03,24,-37438.0,108.75
VALEXP,RT Limit,2023-05-04,1,-37438.0,108.75
VALEXP,RT Limit,2023-05-04,2,-37438.0,108.75
VALEXP,RT Limit,2023-05-04,3,-37438.0,108.75
VALEXP,RT Limit,2023-05-04,4,-37438.0,108.75
VALEXP,RT Limit,2023-05-04,5,-24917.583333,108.75
VALEXP,RT Limit,2023-05-07,1,-26322.971354,102.779412
VALEXP,RT Limit,2023-05-08,4,-14042.446231999998,101.5
VALEXP,RT Limit,2023-05-09,23,-11020.777778,87.0
VALEXP,RT Limit,2023-11-30,19,-4115.185011,119.141668
VALEXP,RT Limit,2023-11-30,20,-17792.194289,119.141668
VALEXP,RT Limit,2023-11-30,24,-11066.455529,111.58409
VALEXP,RT Limit,2023-12-01,3,-8656.870443000002,101.5
VALEXP,RT Limit,2023-12-01,4,-34941.648438,101.5
VALEXP,RT Limit,2023-12-01,5,-34941.648438,101.5
VALEXP,RT Limit,2023-12-01,6,-17419.470052,101.5
VALEXP,RT Limit,2023-12-01,9,-8661.099609,101.5
VALEXP,RT Limit,2023-12-01,10,-23265.432292,101.5
VALEXP,RT Limit,2023-12-01,11,-17423.699219,101.5
VALEXP,RT Limit,2023-12-01,24,-7988.397789,106.574997
VALEXP,RT Limit,2023-12-02,1,-7988.397789,106.574997
VALEXP,RT Limit,2023-12-02,2,-13794.860491,106.574997
VALEXP,RT Limit,2024-02-04,14,-6135.75,118.230769
VALEXP,RT Limit,2024-02-20,16,-5776.529412,101.5
VALEXP,RT Limit,2024-02-21,1,-5142.068422,119.625
VALEXP,RT Limit,2024-02-21,2,-9186.569768,119.625
VALEXP,RT Limit,2024-02-21,14,-5015.788847999998,130.499997
VALEXP,RT Limit,2024-02-21,16,-5015.788847999998,130.499997
N_TO_H,DAM Limit,2021-10-14,16,-240.0,4816.0
N_TO_H,DAM Limit,2021-10-14,17,-235.0,4808.0
N_TO_H,DAM Limit,2021-10-14,18,-263.0,4809.0
