English Name,Generator in Load Zone,Size,Type,Generator Name,03/14/2019 Status,06/16/2023 Status,Description
CABEZON WIND (RIO BRAVO I WIND) 1 A,LZ_SOUTH,115.2,WIND-O,CABEZON_WIND1,Out-Of-Service,In-Service,Changed
CABEZON WIND (RIO BRAVO I WIND) 1 B,LZ_SOUTH,122.4,WIND-O,CABEZON_WIND2,Out-Of-Service,In-Service,Changed
PANDA SHERMAN POWER CTG 1,LZ_NORTH,232.0,GAS-CC,PANDA_S_SHER1CT1,Out-Of-Service,In-Service,Changed
PANDA SHERMAN POWER CTG 2,LZ_NORTH,232.0,GAS-CC,PANDA_S_SHER1CT2,Out-Of-Service,In-Service,Changed
SOUTH HOUSTON GREEN POWER ST2,LZ_HOUSTON,64.0,GAS,AMOCOOIL_AMOCO_S2,In-Service,Out-Of-Service,Changed
PEYTON CREEK WIND,LZ_HOUSTON,151.2,WIND-C,PEY_UNIT1,,In-Service,Missing-In-First
VICTORIA PORT (VICTPORT) CTG 1,LZ_SOUTH,60.5,GAS-GT,VICTPORT_CTG01,,In-Service,Missing-In-First
VICTORIA PORT (VICTPORT) CTG 2,LZ_SOUTH,60.5,GAS-GT,VICTPORT_CTG02,,In-Service,Missing-In-First
VICTORIA CITY (CITYVICT) CTG 1,LZ_SOUTH,60.5,GAS-GT,CITYVICT_CTG01,,In-Service,Missing-In-First
VICTORIA CITY (CITYVICT) CTG 2,LZ_SOUTH,60.5,GAS-GT,CITYVICT_CTG02,,In-Service,Missing-In-First
FORMOSA 6,LZ_SOUTH,19.0,GAS,FORMOSA_FORMOSG6,,In-Service,Missing-In-First
BATTLEGROUND 2,LZ_HOUSTON,39.0,GAS,DIB_DIB_G2,,In-Service,Missing-In-First
EXXONMOBIL CHEMICAL CO 14,LZ_HOUSTON,40.0,GAS,EXN_EXN_G14,,In-Service,Missing-In-First
CEDAR BAYOU STG 1,LZ_HOUSTON,765.0,GAS-ST,CBY_CBY_G1,,In-Service,Missing-In-First
TEXAS CITY POWER CTG C,LZ_HOUSTON,129.06,GAS-CC,TXCTY_CTC,,In-Service,Missing-In-First
COLORADO BEND ENERGY CENTER CTG 2,LZ_SOUTH,86.5,GAS-CC,CBEC_GT2,,In-Service,Missing-In-First
COLORADO BEND ENERGY CENTER CTG 1,LZ_SOUTH,86.5,GAS-CC,CBEC_GT1,,In-Service,Missing-In-First
COLORADO BEND ENERGY CENTER STG 1,LZ_SOUTH,105.0,GAS-CC,CBEC_STG1,,In-Service,Missing-In-First
WAGYU SOLAR,LZ_HOUSTON,120.0,SOLAR,WGU_UNIT1,,In-Service,Missing-In-First
HORSE HOLLOW WIND 4,LZ_SOUTH,115.0,WIND-O,HHGT_HHOLLOW4,,In-Service,Missing-In-First
COMMERCE ST ESS,LZ_SOUTH,10.0,STORAGE,X443ESS1_SWRI,,In-Service,Missing-In-First
JOHNSON CITY BESS,LZ_SOUTH,2.3,STORAGE,JC_BAT_UNIT_1,,In-Service,Missing-In-First
GUADALUPE ENERGY CENTER CTG 3,LZ_SOUTH,181.0,GAS-CC,GUADG_GAS3,,In-Service,Missing-In-First
GUADALUPE ENERGY CENTER STG 5,LZ_SOUTH,204.0,GAS-CC,GUADG_STM5,,In-Service,Missing-In-First
GUADALUPE ENERGY CENTER STG 6,LZ_SOUTH,204.0,GAS-CC,GUADG_STM6,,In-Service,Missing-In-First
GUADALUPE ENERGY CENTER CTG 4,LZ_SOUTH,181.0,GAS-CC,GUADG_GAS4,,In-Service,Missing-In-First
V H BRAUNIG STG 1,LZ_SOUTH,225.0,GAS-ST,BRAUNIG_VHB1,,In-Service,Missing-In-First
V H BRAUNIG CTG 5,LZ_SOUTH,64.5,GAS-GT,BRAUNIG_VHB6CT5,,In-Service,Missing-In-First
V H BRAUNIG CTG 6,LZ_SOUTH,64.5,GAS-GT,BRAUNIG_VHB6CT6,,In-Service,Missing-In-First
SIM GIDEON STG 3,LZ_SOUTH,351.0,GAS-ST,GIDEON_GIDEONG3,,In-Service,Missing-In-First
O W SOMMERS STG 2,LZ_SOUTH,435.0,GAS-ST,CALAVERS_OWS2,,In-Service,Missing-In-First
AMADEUS WIND 1 U1,LZ_WEST,36.7,WIND-O,AMADEUS1_UNIT1,,In-Service,Missing-In-First
AMADEUS WIND 1 U2,LZ_WEST,35.8,WIND-O,AMADEUS1_UNIT2,,In-Service,Missing-In-First
AMADEUS WIND 2 U1,LZ_WEST,177.7,WIND-O,AMADEUS2_UNIT3,,In-Service,Missing-In-First
RTS 2 WIND (HEART OF TEXAS WIND) U1,LZ_WEST,89.9,WIND-O,RTS2_U1,,In-Service,Missing-In-First
RTS 2 WIND (HEART OF TEXAS WIND) U2,LZ_WEST,89.9,WIND-O,RTS2_U2,,In-Service,Missing-In-First
MAVERICK CREEK WIND WEST U1,LZ_WEST,201.6,WIND-O,MAVCRK_W_UNIT1,,In-Service,Missing-In-First
MAVERICK CREEK WIND WEST U2,LZ_WEST,11.1,WIND-O,MAVCRK_W_UNIT2,,In-Service,Missing-In-First
MAVERICK CREEK WIND WEST U3,LZ_WEST,33.6,WIND-O,MAVCRK_W_UNIT3,,In-Service,Missing-In-First
MAVERICK CREEK WIND WEST U4,LZ_WEST,22.2,WIND-O,MAVCRK_W_UNIT4,,In-Service,Missing-In-First
MAVERICK CREEK WIND EAST U1,LZ_WEST,71.4,WIND-O,MAVCRK_E_UNIT5,,In-Service,Missing-In-First
MAVERICK CREEK WIND EAST U2,LZ_WEST,33.3,WIND-O,MAVCRK_E_UNIT6,,In-Service,Missing-In-First
MAVERICK CREEK WIND EAST U3,LZ_WEST,22.0,WIND-O,MAVCRK_E_UNIT7,,In-Service,Missing-In-First
MAVERICK CREEK WIND EAST U4,LZ_WEST,20.0,WIND-O,MAVCRK_E_UNIT8,,In-Service,Missing-In-First
HOLSTEIN SOLAR 1,LZ_WEST,102.2,SOLAR,HOLSTEIN_SOLAR1,,In-Service,Missing-In-First
HOLSTEIN SOLAR 2,LZ_WEST,102.3,SOLAR,HOLSTEIN_SOLAR2,,In-Service,Missing-In-First
RAMBLER SOLAR,LZ_WEST,211.19,SOLAR,RAMBLER_UNIT1,,In-Service,Missing-In-First
OVEJA WIND U1,LZ_WEST,151.2,WIND-O,OVEJA_G1,,In-Service,Missing-In-First
OVEJA WIND U2,LZ_WEST,151.2,WIND-O,OVEJA_G2,,In-Service,Missing-In-First
GOPHER CREEK WIND 1,LZ_WEST,82.0,WIND-O,GOPHER_UNIT1,,In-Service,Missing-In-First
GOPHER CREEK WIND 2,LZ_WEST,76.0,WIND-O,GOPHER_UNIT2,,In-Service,Missing-In-First
AVIATOR WIND U2,LZ_WEST,145.64,WIND-O,AVIATOR_UNIT2,,In-Service,Missing-In-First
AVIATOR WIND U1,LZ_WEST,180.12,WIND-O,AVIATOR_UNIT1,,In-Service,Missing-In-First
AVIATOR WIND U3,LZ_WEST,199.26,WIND-O,DEWOLF_UNIT1,,In-Service,Missing-In-First
WHITEHORSE WIND U1,LZ_WEST,209.4,WIND-O,WH_WIND_UNIT1,,In-Service,Missing-In-First
WHITEHORSE WIND U2,LZ_WEST,209.5,WIND-O,WH_WIND_UNIT2,,In-Service,Missing-In-First
COYOTE WIND U1,LZ_WEST,90.0,WIND-O,COYOTE_W_UNIT1,,In-Service,Missing-In-First
COYOTE WIND U2,LZ_WEST,26.6,WIND-O,COYOTE_W_UNIT2,,In-Service,Missing-In-First
COYOTE WIND U3,LZ_WEST,126.0,WIND-O,COYOTE_W_UNIT3,,In-Service,Missing-In-First
ANSON SOLAR U1,LZ_WEST,100.8,SOLAR,ANSON1_UNIT1,,In-Service,Missing-In-First
ANSON SOLAR U2,LZ_WEST,100.8,SOLAR,ANSON1_UNIT2,,In-Service,Missing-In-First
SWEETWATER WIND 4-5,LZ_WEST,85.0,WIND-O,SWEETWN5_WND5,,In-Service,Missing-In-First
BLUEBELL SOLAR II 1 (CAPRICORN RIDGE 4),LZ_WEST,100.0,SOLAR,CAPRIDG4_BB2_PV1,,In-Service,Missing-In-First
BLUEBELL SOLAR II 2 (CAPRICORN RIDGE 4),LZ_WEST,15.0,SOLAR,CAPRIDG4_BB2_PV2,,In-Service,Missing-In-First
OAK GROVE SES U1,LZ_NORTH,916.8,COAL,OGSES_UNIT1A,,In-Service,Missing-In-First
KELLAM SOLAR,LZ_NORTH,59.8,SOLAR,KELAM_SL_UNIT1,,In-Service,Missing-In-First
TWIN OAKS U1,LZ_NORTH,174.6,COAL,TNP_ONE_TNP_O_1,,In-Service,Missing-In-First
BARTON CHAPEL WIND,LZ_NORTH,120.0,WIND-O,BRTSW_BCW1,,In-Service,Missing-In-First
PRAIRIE HILL WIND U1,LZ_NORTH,153.0,WIND-O,PHILLWND_UNIT1,,In-Service,Missing-In-First
PRAIRIE HILL WIND U2,LZ_NORTH,147.0,WIND-O,PHILLWND_UNIT2,,In-Service,Missing-In-First
"SPENCER STG U4 (AS OF 10/24/2022, AVAILABLE 4/2 THROUGH 11/30)",LZ_NORTH,61.0,GAS-ST,SPNCER_SPNCE_4,,In-Service,Missing-In-First
"SPENCER STG U5 (AS OF 10/24/2022, AVAILABLE 4/2 THROUGH 11/30)",LZ_NORTH,65.0,GAS-ST,SPNCER_SPNCE_5,,In-Service,Missing-In-First
HANDLEY STG 3,LZ_NORTH,395.0,GAS-ST,HLSES_UNIT3,,In-Service,Missing-In-First
FORNEY ENERGY CENTER CTG 11,LZ_NORTH,196.7,GAS-CC,FRNYPP_GT11,,In-Service,Missing-In-First
FORNEY ENERGY CENTER STG 10,LZ_NORTH,422.0,GAS-CC,FRNYPP_ST10,,In-Service,Missing-In-First
FORNEY ENERGY CENTER CTG 13,LZ_NORTH,196.7,GAS-CC,FRNYPP_GT13,,In-Service,Missing-In-First
FORNEY ENERGY CENTER CTG 12,LZ_NORTH,196.7,GAS-CC,FRNYPP_GT12,,In-Service,Missing-In-First
TAYGETE SOLAR 1 U1,LZ_WEST,125.9,SOLAR,TAYGETE_UNIT1,,In-Service,Missing-In-First
TAYGETE SOLAR 1 U2,LZ_WEST,128.9,SOLAR,TAYGETE_UNIT2,,In-Service,Missing-In-First
FOWLER RANCH,LZ_WEST,152.5,SOLAR,FWLR_SLR_UNIT1,,In-Service,Missing-In-First
GREASEWOOD SOLAR 1,LZ_WEST,126.3,SOLAR,GREASWOD_UNIT1,,In-Service,Missing-In-First
GREASEWOOD SOLAR 2,LZ_WEST,132.2,SOLAR,GREASWOD_UNIT2,,In-Service,Missing-In-First
BARROW RANCH (JUMBO HILL WIND) 1,LZ_WEST,90.2,WIND-O,BARROW_UNIT1,,In-Service,Missing-In-First
BARROW RANCH (JUMBO HILL WIND) 2,LZ_WEST,70.5,WIND-O,BARROW_UNIT2,,In-Service,Missing-In-First
HARALD (BEARKAT WIND B),LZ_WEST,162.1,WIND-O,HARALD_UNIT1,,In-Service,Missing-In-First
RANCHERO WIND,LZ_WEST,150.0,WIND-O,RANCHERO_UNIT2,,In-Service,Missing-In-First
RANCHERO WIND,LZ_WEST,150.0,WIND-O,RANCHERO_UNIT1,,In-Service,Missing-In-First
SAGE DRAW WIND U1,LZ_WEST,169.2,WIND-O,SAGEDRAW_UNIT1,,In-Service,Missing-In-First
SAGE DRAW WIND U2,LZ_WEST,169.2,WIND-O,SAGEDRAW_UNIT2,,In-Service,Missing-In-First
PHOEBE SOLAR 1,LZ_WEST,125.04,SOLAR,PHOEBE_UNIT1,,In-Service,Missing-In-First
PHOEBE SOLAR 2,LZ_WEST,127.95,SOLAR,PHOEBE_UNIT2,,In-Service,Missing-In-First
LAPETUS SOLAR,LZ_WEST,100.7,SOLAR,LAPETUS_UNIT_1,,In-Service,Missing-In-First
OBERON SOLAR,LZ_WEST,180.0,SOLAR,OBERON_UNIT_1,,In-Service,Missing-In-First
LONG DRAW SOLAR U1,LZ_WEST,98.5,SOLAR,LGDRAW_S_UNIT1_1,,In-Service,Missing-In-First
LONG DRAW SOLAR U2,LZ_WEST,128.3,SOLAR,LGDRAW_S_UNIT1_2,,In-Service,Missing-In-First
HIGH LONESOME W 3,LZ_WEST,127.5,WIND-O,HI_LONE_WGR3,,In-Service,Missing-In-First
HIGH LONESOME W 4,LZ_WEST,101.5,WIND-O,HI_LONE_WGR4,,In-Service,Missing-In-First
HIGH LONESOME W 2A,LZ_WEST,25.3,WIND-O,HI_LONE_WGR2A,,In-Service,Missing-In-First
QUEEN SOLAR PHASE I,LZ_WEST,102.5,SOLAR,QUEEN_SL_SOLAR2,,In-Service,Missing-In-First
QUEEN SOLAR PHASE I,LZ_WEST,102.5,SOLAR,QUEEN_SL_SOLAR1,,In-Service,Missing-In-First
QUEEN SOLAR PHASE II,LZ_WEST,97.5,SOLAR,QUEEN_SL_SOLAR3,,In-Service,Missing-In-First
QUEEN SOLAR PHASE II,LZ_WEST,97.5,SOLAR,QUEEN_SL_SOLAR4,,In-Service,Missing-In-First
WEST OF PECOS SOLAR,LZ_WEST,100.0,SOLAR,W_PECOS_UNIT1,,In-Service,Missing-In-First
EUNICE SOLAR U1,LZ_WEST,189.6,SOLAR,EUNICE_PV1,,In-Service,Missing-In-First
EUNICE SOLAR U2,LZ_WEST,237.1,SOLAR,EUNICE_PV2,,In-Service,Missing-In-First
EUNICE STORAGE,LZ_WEST,40.3,STORAGE,EUNICE_BES1,,In-Service,Missing-In-First
TITAN SOLAR (IP TITAN) U1,LZ_WEST,136.8,SOLAR,TI_SOLAR_UNIT1,,In-Service,Missing-In-First
TITAN SOLAR (IP TITAN) U2,LZ_WEST,131.1,SOLAR,TI_SOLAR_UNIT2,,In-Service,Missing-In-First
JUNO SOLAR PHASE I,LZ_WEST,162.1,SOLAR,JUNO_UNIT1,,In-Service,Missing-In-First
JUNO SOLAR PHASE II,LZ_WEST,143.5,SOLAR,JUNO_UNIT2,,In-Service,Missing-In-First
PECOS WIND 1 (WOODWARD),LZ_WEST,91.7,WIND-O,WOODWRD1_WOODWRD1,,In-Service,Missing-In-First
PROSPERO SOLAR 1 U1,LZ_WEST,153.6,SOLAR,PROSPERO_UNIT1,,In-Service,Missing-In-First
PROSPERO SOLAR 1 U2,LZ_WEST,150.0,SOLAR,PROSPERO_UNIT2,,In-Service,Missing-In-First
HOEFSROAD BESS (DGR),LZ_WEST,2.0,STORAGE,HRBESS_BESS,,In-Service,Missing-In-First
EAST RAYMOND WIND (EL RAYO) U1,LZ_SOUTH,101.2,WIND-C,EL_RAYO_UNIT1,,In-Service,Missing-In-First
EAST RAYMOND WIND (EL RAYO) U2,LZ_SOUTH,99.0,WIND-C,EL_RAYO_UNIT2,,In-Service,Missing-In-First
RELOJ DEL SOL WIND U1,LZ_SOUTH,55.4,WIND-O,RELOJ_UNIT1,,In-Service,Missing-In-First
RELOJ DEL SOL WIND U2,LZ_SOUTH,48.0,WIND-O,RELOJ_UNIT2,,In-Service,Missing-In-First
RELOJ DEL SOL WIND U3,LZ_SOUTH,83.1,WIND-O,RELOJ_UNIT3,,In-Service,Missing-In-First
RELOJ DEL SOL WIND U4,LZ_SOUTH,22.8,WIND-O,RELOJ_UNIT4,,In-Service,Missing-In-First
KARANKAWA WIND 1A,LZ_SOUTH,103.32,WIND-C,KARAKAW1_UNIT1,,In-Service,Missing-In-First
KARANKAWA WIND 1B,LZ_SOUTH,103.32,WIND-C,KARAKAW1_UNIT2,,In-Service,Missing-In-First
KARANKAWA WIND 2,LZ_SOUTH,100.42,WIND-C,KARAKAW2_UNIT3,,In-Service,Missing-In-First
LOS VIENTOS WIND II,LZ_SOUTH,201.6,WIND-C,LV2_LV2,,In-Service,Missing-In-First
SHAFFER (PATRIOT WIND/PETRONILLA),LZ_SOUTH,226.05,WIND-C,SHAFFER_UNIT1,,In-Service,Missing-In-First
CRANELL WIND,LZ_SOUTH,220.0,WIND-C,CRANELL_UNIT1,,In-Service,Missing-In-First
GREGORY POWER PARTNERS GT2,LZ_SOUTH,185.0,GAS-CC,LGE_LGE_GT2,,In-Service,Missing-In-First
GREGORY POWER PARTNERS GT1,LZ_SOUTH,185.0,GAS-CC,LGE_LGE_GT1,,In-Service,Missing-In-First
GREGORY POWER PARTNERS STG,LZ_SOUTH,100.0,GAS-CC,LGE_LGE_STG,,In-Service,Missing-In-First
HIDALGO II WIND,LZ_SOUTH,50.4,WIND-O,MIRASOLE_MIR13,,In-Service,Missing-In-First
MESTENO WIND,LZ_SOUTH,201.6,WIND-O,MESTENO_UNIT_1,,In-Service,Missing-In-First
CHALUPA WIND,LZ_SOUTH,173.25,WIND-C,CHALUPA_UNIT1,,In-Service,Missing-In-First
ESPIRITU WIND,LZ_SOUTH,25.2,WIND-C,CHALUPA_UNIT2,,In-Service,Missing-In-First
