Branch Name,03/14/2019  RATEA,06/16/2023 RATEA,Percent Change
ADK_AT2                         ,600.0,717.0,17.76765375854214
ADK_AT2H                        ,600.0,717.0,17.76765375854214
ADK_AT2T                        ,139.5,100.0,32.98538622129436
FORMOSA_TR3X                    ,50.0,25.0,66.66666666666666
WO_AT2H                         ,168.0,143.0,16.077170418006432
WO_AT2                          ,168.0,143.0,16.077170418006432
BBP_UXF5                        ,38.3,23.0,49.91843393148449
NA_NO_1                         ,42.0,25.0,50.74626865671642
NA_NO_2                         ,42.0,25.0,50.74626865671642
NA_NO_4                         ,42.0,25.0,50.74626865671642
NA_NO_5                         ,42.0,25.0,50.74626865671642
CBEC_26T                        ,120.0,90.0,28.57142857142857
CBEC_25T                        ,120.0,84.0,35.294117647058826
CBEC_22T                        ,110.0,90.0,20.0
CHOATE_CHOT                     ,50.0,150.0,100.0
CLEASP_AT2T                     ,43.0,70.0,47.78761061946903
CLEASP_AT1T                     ,8.0,70.0,158.97435897435898
LYTTON_S_AT3T                   ,23.0,70.0,101.0752688172043
KENDAL_AT4T                     ,43.0,121.0,95.1219512195122
KENDAL_AT5T                     ,43.0,121.0,95.1219512195122
BRAUNIG_18_3                    ,433.0,208.0,70.20280811232449
BRAUNIG_ST                      ,188.0,223.0,17.0316301703163
SALEM_AT4T                      ,43.0,70.0,47.78761061946903
SALEM_AT3T                      ,43.0,121.0,95.1219512195122
GILLCR_AT1T                     ,43.0,121.3,95.31345100426049
ZORN_AT1T                       ,9.0,70.0,154.43037974683546
ZORN_AT2T                       ,43.0,70.0,47.78761061946903
ALTAIR_AT2T                     ,67.0,44.8,39.71377459749553
ALTAIR_AT1T                     ,67.0,44.8,39.71377459749553
FAYETT_AT2T                     ,69.0,121.0,54.736842105263165
PAWNEE_XF1                      ,150.0,300.0,66.66666666666666
RUSTHILL_T1                     ,130.0,166.0,24.324324324324326
SANDCR_AT1                      ,45.0,70.0,43.47826086956522
CARBN_SRC1                      ,27.0,20.0,29.78723404255319
LVOK_T2                         ,50.0,63.0,23.008849557522122
SAPOWER_69T1                    ,50.0,130.0,88.88888888888889
JK_CK_XF1L                      ,600.0,717.0,17.76765375854214
WLNDSSRC_XF-1                   ,360.0,600.0,50.0
WLNDSSRC_XF-2                   ,360.0,600.0,50.0
CRLNW_MR1T                      ,105.6,75.0,33.88704318936877
CRLNW_MR1H                      ,437.0,700.0,46.262093227792434
CRLNW_MR1L                      ,437.0,700.0,46.262093227792434
STEAM_FMR4                      ,65.0,37.9,52.672497570456756
CMNSW_MR1H                      ,467.0,387.0,18.735362997658083
CMNSW_MR1L                      ,467.0,387.0,18.735362997658083
KLNSW_MR1L                      ,471.0,700.0,39.11187019641332
KLNSW_MR1H                      ,471.0,700.0,39.11187019641332
KLNSW_MR1T                      ,90.0,75.0,18.181818181818183
VEALMOOR_7TR2                   ,380.0,706.0,60.036832412523026
VEALMOOR_7TR1                   ,380.0,708.0,60.29411764705882
MDLNE_MR1H                      ,478.0,700.0,37.69100169779287
MDLNE_MR1T                      ,114.8,75.0,41.93888303477344
MDLNE_MR1L                      ,478.0,700.0,37.69100169779287
ALMC_T2                         ,42.0,30.0,33.33333333333333
LMESA_FMR1                      ,46.0,86.0,60.60606060606061
FTST_69T1                       ,63.0,74.0,16.05839416058394
WINK_KAT1                       ,83.0,149.0,56.896551724137936
RIOPECOS_69-1                   ,50.0,90.0,57.14285714285714
NORTMC_AT1T                     ,43.0,121.0,95.1219512195122
NORTMC_AT2T                     ,43.0,121.0,95.1219512195122
QALSW_15H                       ,120.0,200.0,50.0
QALSW_16H                       ,120.0,142.0,16.793893129770993
QALSW_15X                       ,120.0,200.0,50.0
QALSW_15Y                       ,120.0,200.0,50.0
QALSW_16X                       ,120.0,142.0,16.793893129770993
QALSW_16Y                       ,120.0,142.0,16.793893129770993
NLARSW_PS1                      ,239.0,181.0,27.61904761904762
LARDVFT_VFTN                    ,115.0,90.0,24.390243902439025
LARDVFT_VFT                     ,115.0,90.0,24.390243902439025
LARDVFT_VFTS                    ,115.0,90.0,24.390243902439025
STRATTON_69-1                   ,83.0,45.0,59.375
LAREDO_A1-L                     ,140.0,109.0,24.899598393574294
LAREDO_A2-L                     ,140.0,109.0,24.899598393574294
LAREDO_A2-T                     ,28.0,10.0,94.73684210526315
LAREDO_A1-H                     ,140.0,109.0,24.899598393574294
LAREDO_A2-H                     ,140.0,109.0,24.899598393574294
LAREDO_A1-T                     ,28.0,10.0,94.73684210526315
NEDIN_138L                      ,507.7,339.0,39.84882484941537
NEDIN_138T                      ,100.0,75.0,28.57142857142857
NEDIN_138H                      ,507.7,339.0,39.84882484941537
N_SHARPE_XF1                    ,715.0,405.0,55.35714285714286
SANMIGL_ATBT                    ,75.0,115.0,42.10526315789473
SANMIGL_ATAT                    ,300.0,115.0,89.1566265060241
SANMIGL_ATBH                    ,300.0,675.0,76.92307692307693
SANMIGL_ATAH                    ,300.0,675.0,76.92307692307693
SANMIGL_ATAL                    ,300.0,675.0,76.92307692307693
SANMIGL_ATBL                    ,300.0,675.0,76.92307692307693
SILASRAY_SGT6                   ,30.0,60.0,66.66666666666666
BIG_FOOT_69A1                   ,40.0,90.0,76.92307692307693
LON_HILL_382H                   ,437.0,661.0,40.80145719489982
LON_HILL_382L                   ,437.0,661.0,40.80145719489982
LON_HILL_382T                   ,115.0,75.0,42.10526315789473
LON_HILL_381H                   ,497.0,661.0,28.324697754749568
LON_HILL_381L                   ,497.0,661.0,28.324697754749568
LON_HILL_381T                   ,115.0,75.0,42.10526315789473
BTTSW_FMR2                      ,112.0,177.0,44.982698961937714
OKLA_1384                       ,250.0,301.4,18.643453028654328
SJO_SJO2                        ,40.0,60.0,40.0
SALVTION_T2                     ,141.0,167.0,16.883116883116884
BOW_FMR1                        ,40.0,75.0,60.86956521739131
