Branch Name,03/14/2019  RATEB,06/16/2023 RATEB,Percent Change
ADK_AT1                         ,769.0,597.0,25.183016105417277
ADK_AT2                         ,778.0,1000.0,24.9718785151856
ADK_AT1H                        ,769.0,597.0,25.183016105417277
ADK_AT2H                        ,778.0,1000.0,24.9718785151856
ADK_AT2T                        ,139.5,100.0,32.98538622129436
THW_AT2                         ,100.0,121.0,19.004524886877828
THW_AT1                         ,914.0,772.0,16.844602609727165
THW_AT2H                        ,100.0,121.0,19.004524886877828
THW_AT1L                        ,914.0,772.0,16.844602609727165
DT_AT2                          ,200.0,239.0,17.76765375854214
DT_AT2H                         ,200.0,239.0,17.76765375854214
FORMOSA_TR3X                    ,67.0,33.0,68.0
GBY_AT5                         ,200.0,239.0,17.76765375854214
WO_AT2H                         ,179.0,143.0,22.36024844720497
WO_AT2                          ,179.0,143.0,22.36024844720497
BBP_UXF5                        ,38.3,23.0,49.91843393148449
CBEC_26T                        ,140.0,120.0,15.384615384615385
CBEC_25T                        ,140.0,112.0,22.22222222222222
CBEC_22T                        ,160.0,120.0,28.57142857142857
CHOATE_CHOT                     ,50.0,150.0,100.0
OCI_ALM1_MPX                    ,64.0,47.0,30.630630630630627
CLEASP_AT2T                     ,43.0,70.0,47.78761061946903
CLEASP_AT1T                     ,8.0,70.0,158.97435897435898
LYTTON_S_AT3T                   ,23.0,70.0,101.0752688172043
KENDAL_AT4T                     ,43.0,121.0,95.1219512195122
KENDAL_AT5T                     ,43.0,121.0,95.1219512195122
BRAUNIG_18_3                    ,433.0,208.0,70.20280811232449
BRAUNIG_ST                      ,188.0,223.0,17.0316301703163
SALEM_AT4T                      ,43.0,70.0,47.78761061946903
SALEM_AT3T                      ,43.0,121.0,95.1219512195122
GILLCR_AT1T                     ,43.0,121.3,95.31345100426049
ZORN_AT1T                       ,9.0,70.0,154.43037974683546
ZORN_AT2T                       ,43.0,70.0,47.78761061946903
ALTAIR_AT2T                     ,74.0,49.3,40.06488240064883
ALTAIR_AT1T                     ,74.0,49.3,40.06488240064883
MARION_AT2T                     ,118.0,90.5,26.378896882494008
FAYETT_AT2L                     ,706.0,826.8,15.762004175365337
FAYETT_AT2H                     ,706.0,826.8,15.762004175365337
FAYETT_AT2T                     ,69.0,121.0,54.736842105263165
PAWNEE_XF1                      ,150.0,300.0,66.66666666666666
ECLIPSE_TR1                     ,64.0,55.0,15.126050420168067
RUSTHILL_T1                     ,143.0,178.0,21.806853582554517
SANDCR_AT1                      ,49.0,77.0,44.44444444444444
SAPOWER_69T1                    ,55.0,130.0,81.08108108108108
GOAT_T_1H                       ,300.0,167.0,56.9593147751606
WLNDSSRC_XF-1                   ,360.0,600.0,50.0
WLNDSSRC_XF-2                   ,360.0,600.0,50.0
CRLNW_MR1T                      ,105.6,75.0,33.88704318936877
CRLNW_MR1H                      ,495.0,750.0,40.963855421686745
CRLNW_MR1L                      ,495.0,750.0,40.963855421686745
STEAM_FMR4                      ,65.0,37.9,52.672497570456756
CMNSW_MR1H                      ,540.0,460.0,16.0
CMNSW_MR1L                      ,540.0,460.0,16.0
KLNSW_MR1L                      ,535.0,750.0,33.46303501945525
KLNSW_MR1H                      ,535.0,750.0,33.46303501945525
KLNSW_MR1T                      ,90.0,75.0,18.181818181818183
LEG_AT1                         ,200.0,261.0,26.46420824295011
LEG_AT2H                        ,200.0,261.0,26.46420824295011
LEG_AT2                         ,200.0,261.0,26.46420824295011
LEG_AT1L                        ,200.0,261.0,26.46420824295011
OLSEN_NAT1                      ,143.0,167.0,15.483870967741936
VEALMOOR_7TR2                   ,632.0,792.0,22.47191011235955
MDLNE_MR1H                      ,530.0,750.0,34.375
MDLNE_MR1T                      ,114.8,75.0,41.93888303477344
MDLNE_MR1L                      ,530.0,750.0,34.375
ALMC_T2                         ,46.0,30.0,42.10526315789473
LMESA_FMR1                      ,56.0,94.0,50.66666666666667
WINK_KAT1                       ,93.0,167.0,56.92307692307692
RIOPECOS_69-1                   ,55.0,90.0,48.275862068965516
NORTMC_AT1T                     ,43.0,121.0,95.1219512195122
NORTMC_AT2T                     ,43.0,121.0,95.1219512195122
QALSW_16H                       ,190.0,142.0,28.915662650602407
QALSW_16X                       ,190.0,142.0,28.915662650602407
QALSW_16Y                       ,190.0,142.0,28.915662650602407
NLARSW_PS1                      ,347.0,222.0,43.936731107205624
LARDVFT_VFTN                    ,126.5,90.0,33.71824480369515
LARDVFT_VFT                     ,115.0,90.0,24.390243902439025
LARDVFT_VFTS                    ,127.0,90.0,34.10138248847927
STRATTON_69-1                   ,92.0,45.0,68.61313868613139
LAREDO_A1-L                     ,154.0,116.0,28.14814814814815
LAREDO_A2-L                     ,154.0,116.0,28.14814814814815
LAREDO_A2-T                     ,30.8,10.0,101.96078431372551
LAREDO_A1-H                     ,154.0,116.0,28.14814814814815
LAREDO_A2-H                     ,154.0,116.0,28.14814814814815
LAREDO_A1-T                     ,30.8,10.0,101.96078431372551
NEDIN_138T                      ,110.0,75.0,37.83783783783784
N_SHARPE_XF1                    ,865.0,405.0,72.44094488188976
SANMIGL_ATBT                    ,75.0,115.0,42.10526315789473
SANMIGL_ATAT                    ,300.0,115.0,89.1566265060241
SANMIGL_ATBH                    ,300.0,675.0,76.92307692307693
SANMIGL_ATAH                    ,300.0,675.0,76.92307692307693
SANMIGL_ATAL                    ,300.0,675.0,76.92307692307693
SANMIGL_ATBL                    ,300.0,675.0,76.92307692307693
SILASRAY_SGT6                   ,33.0,67.2,68.26347305389223
BIG_FOOT_69A1                   ,47.0,90.0,62.77372262773723
LON_HILL_382H                   ,478.0,841.0,55.04169825625473
LON_HILL_382L                   ,478.0,841.0,55.04169825625473
LON_HILL_382T                   ,127.0,75.0,51.48514851485149
LON_HILL_381H                   ,512.0,820.0,46.246246246246244
LON_HILL_381L                   ,512.0,820.0,46.246246246246244
LON_HILL_381T                   ,127.0,75.0,51.48514851485149
BTTSW_FMR2                      ,125.0,188.0,40.2555910543131
OKLA_1384                       ,275.0,323.4,16.176470588235286
SJO_SJO2                        ,40.0,60.0,40.0
SALVTION_T2                     ,141.0,167.0,16.883116883116884
BOW_FMR1                        ,40.0,75.0,60.86956521739131
